Table 1
id ,game_id ,user_id ,description      , sale_price ,available ,rent_price,platform_id,condition_new 
11,5,3,Fair and good ,49.99,1,9.99,1,0
12,8,4,Fair and good ,49.99,1,9.99,2,0
13,9,5,Fair and good ,49.99,1,9.99,3,0
14,52,6,Fair and good ,49.99,1,9.99,4,0
15,55,7,Fair and good ,49.99,1,9.99,5,0
16,77,8,Fair and good ,49.99,1,9.99,6,0
17,44,8,Fair and good ,49.99,1,9.99,7,0
18,111,8,Fair and good ,49.99,1,9.99,8,0
19,111,8,Fair and good ,49.99,1,9.99,1,0
20,100,9,Fair and good ,49.99,1,9.99,2,0
21,97,11,Fair and good ,39.99,1,9.99,3,0
22,60,13,Fair and good ,39.99,1,9.99,4,1
23,30,13,Brand new,39.99,1,9.99,5,1
24,33,20,Brand new,39.99,1,9.99,6,1
25,33,24,Brand new,39.99,1,9.99,7,1
26,102,18,Brand new,39.99,1,9.99,8,1
27,88,18,Brand new,39.99,1,9.99,1,1
28,8,19,Brand new,39.99,1,9.99,2,1
29,78,10,Brand new,29.99,1,9.99,3,1
30,103,12,Brand new,29.99,1,9.99,4,1
31,89,14,Brand new,29.99,1,9.99,5,1
32,9,15,Brand new,29.99,1,9.99,6,1
33,78,15,Brand new,29.99,1,9.99,7,1
34,57,16,Slightly used,99.99,1,9.99,8,0
35,59,17,Slightly used,99.99,1,9.99,1,0
36,60,18,Slightly used,99.99,1,9.99,2,0
37,61,19,Slightly used,99.99,1,9.99,3,0
38,62,21,Slightly used,99.99,1,9.99,4,0
39,63,22,Slightly used,99.99,1,9.99,5,0
